id,account_id,amount,datetime,description,payment_method,payee
1,1,500.0,"2024-08-11 02:45:50","Purchase at Galactic Market",debit,"Galactic Market"
2,1,1500.0,"2024-08-05 15:18:59","Rent Payment to Trantor Estates",regular,"Trantor Estates"
3,1,75.5,"2024-08-27 23:24:38","Dinner at Mycogen Sector Restaurant",debit,"Mycogen Cuisine"
4,1,250.0,"2024-08-29 19:59:35","Interplanetary Transport Fare",debit,"Imperial Spacelines"
5,1,120.75,"2024-09-23 01:41:01","Vault of Trantor Museum Tickets",debit,"Trantor Historical Society"
6,1,800.0,"2024-09-21 13:26:46","Personal Shield Maintenance",regular,"Imperial Tech Services"
7,1,45.99,"2024-09-05 22:04:38","Prime Radiant Data Subscription",debit,"Seldon Psychohistory Institute"
8,1,350.0,"2024-08-18 09:02:44","Gravitic Repulsor Boots",debit,"Terminus Outfitters"
9,1,1000.0,"2024-08-24 02:31:24","Spaceship Insurance Premium",regular,"Galactic Insurers"
10,1,180.25,"2024-08-10 22:43:41","Galactic Standard Language Course",regular,"Imperial University of Trantor"
11,2,200.0,"2024-08-11 03:31:18","Energy Bill for Terminus Power",regular,"Terminus Power"
12,2,1200.0,"2024-09-30 02:22:24","Subscription to Encyclopedia Galactica",regular,"Encyclopedia Galactica"
13,2,85.75,"2024-09-11 13:02:22","Hyperwave Transceiver Repair",debit,"Foundation TechnoFix"
14,2,450.0,"2024-08-01 23:17:02","Subetheric Communication Package",regular,GalactiComm
15,2,75.0,"2024-09-02 11:37:32","Atomic Converter Fuel",debit,"Anacreon Fuel Station"
16,2,300.0,"2024-09-06 10:46:27","Positronic Brain Maintenance",debit,"R. Daneel Olivaw Services"
17,2,1800.0,"2024-09-22 21:55:55","Vault of Trantor Access Fee",debit,"Imperial Library of Trantor"
18,2,95.5,"2024-09-08 01:17:03","Neuronic Whip Power Cell",debit,"Imperial Armory"
19,2,250.0,"2024-09-14 14:34:47","Holographic Home Decor",debit,"Kalgan Luxury Imports"
20,2,500.0,"2024-09-09 17:18:46","Gravitic Gymnasium Membership",regular,"Trantor Fitness"
21,3,450.0,"2024-09-03 20:59:43","Purchase from Anacreon Traders",debit,"Anacreon Traders"
22,3,320.0,"2024-09-07 10:27:28","Gym Membership at Imperial Fitness",regular,"Imperial Fitness"
23,3,150.75,"2024-09-08 01:41:20","Galactic Cuisine Cooking Class",debit,"Synnax Culinary Academy"
